yin_finance_share,reflux_rate_max,min_R_over_R0,final_R_over_R0,max_B,final_B,stress_share,max_w_gap,min_S,final_M_re,final_M_public,yin_cumulative,reflux_cumulative,sf_tax_integral,commons_spend_integral,public_money_identity_error
0.0,0.0,0.4632762029675191,0.7140792537064174,5840.647176198182,968.9459602319008,0.7104825291181365,0.7467125302529668,0.6531988403795611,252.65704650340362,550.0,0.0,0.0,39515.36411054962,24089.122968326657,0.0
0.0,0.02,0.5554638283784635,0.8093061783017742,5802.700604589999,1021.3066682782795,0.7104825291181365,0.7091275957450093,0.6530698906100285,278.48453510864664,343.2175540863673,0.0,206.78244591363375,42135.701609222764,25670.175651551384,1.0231815394945443e-12
0.0,0.05,0.8142576127586241,0.8438410147980904,5394.5387609337395,1253.1119037756962,0.6905158069883528,0.45818907417911947,0.6528146594251074,295.5941852543391,0.0,0.0,549.9999999999985,46517.74788571487,28428.608800627015,-1.4779288903810084e-12
0.0,0.08,0.7210738873895928,0.7857245328593669,5137.097354458733,900.1821616875485,0.6838602329450915,0.5551327288059316,0.6528115916483966,277.9083692619924,0.0,0.0,550.0000000000011,46501.248899994505,27938.010638536703,1.1368683772161603e-12
0.0,0.12,0.7366226397017492,0.8052918538990644,4168.929018905826,910.7356154385616,0.670549084858569,0.540954411447646,0.6528115912648899,283.7912445205858,0.0,0.0,549.999999999999,47206.20127196589,28242.91920508726,-1.0231815394945443e-12
0.25,0.0,0.16878363201698066,0.5167461496335175,1797.1136893433606,0.0,0.6955074875207987,0.8084315995192741,0.6528379329599168,275.3919286705959,4694.010167399559,4144.010167399561,0.0,19543.69585643523,16627.382704437703,-2.7284841053187847e-12
0.25,0.02,0.31763614388028694,0.47977076554352394,2174.7918899470214,0.0,0.6405990016638935,0.7116160721539325,0.6528517006243365,258.505039432941,4647.987682978739,4259.229607024747,161.24192404598202,19336.01422434336,17080.636043441664,-2.48121523327427e-11
0.25,0.05,0.38962551917237526,0.5773795381053765,2353.652580794144,0.0,0.6439267886855241,0.6449409508775239,0.6528809627615209,293.02558021336057,4592.645905529093,4442.501817964331,399.8559124352401,20147.74254190224,17812.998991306566,2.5011104298755527e-12
0.25,0.08,0.43700035222899436,0.5646747745355717,2495.817560282775,0.0,0.653910149750416,0.6143350713751984,0.6529225076116898,289.06308457770393,4424.809234521154,4512.601989104034,637.7927545828858,20565.286709901786,18090.336468466627,6.480149750132114e-12
0.25,0.12,0.4175436499383039,0.5356993621594633,2635.619479708553,0.0,0.6655574043261231,0.6396341465259388,0.6529906812763512,277.91593067354114,4152.331130600543,4558.3706453399745,956.0395147394154,20998.322624661072,18272.735005458922,-1.6370904631912708e-11
0.5,0.0,0.15504881114905572,0.36361281086581904,197.4017448521218,0.0,0.5723793677204659,0.8314307360198784,0.6528115969958437,259.7858122957418,7558.356307574363,7008.356307574366,0.0,15686.23641757089,14052.360532404646,-2.7284841053187847e-12
0.5,0.02,0.1558411723019191,0.36823427474362813,197.4017448521218,0.0,0.5723793677204659,0.830583138293437,0.6528115969958437,261.761477815213,7372.766154733031,7003.985168074443,181.21901334139395,15691.244439733997,14043.020883463261,-1.8559376258053817e-11
0.5,0.05,0.15680408488292413,0.3771608436018355,197.4017448521218,0.0,0.5723793677204659,0.8295510948300245,0.6528115969958437,265.59236020961384,7110.904618259293,7000.840554330895,439.9359360716164,15706.134577123295,14036.723979224273,1.404032445861958e-11
0.5,0.08,0.15795853936061202,0.39618946659141024,197.4017448521218,0.0,0.5723793677204659,0.828300373721029,0.6528115969958437,272.99738272589934,6864.338175885596,6998.104704590089,683.7665287044837,15733.546369297645,14032.764632081216,-9.663381206337363e-12
0.5,0.12,0.1613794141424055,0.3645102489344274,197.4017448521218,0.0,0.5956738768718802,0.8301081519221247,0.6528139818389833,260.323403067319,6872.834027300453,7228.69555252598,905.8615252255086,15808.220438918397,14488.591247784687,-1.7962520360015333e-11
0.75,0.0,0.15555044636216958,0.4905167473664119,196.86866930391398,0.0,0.5723793677204659,0.8312794691858655,0.652811596995845,356.7808307722443,11304.27725960113,10754.277259601135,0.0,15557.128832820747,14376.897254792442,-5.4569682106375694e-12
0.75,0.02,0.15555044622049566,0.49117957843634974,196.86866930391398,0.0,0.5723793677204659,0.8312794693451688,0.652811596995845,356.98305313015516,11105.844337552726,10754.332231123246,198.48789357053164,15562.72658869909,14378.434864957966,1.0516032489249483e-11
0.75,0.05,0.15555044591610276,0.4885507955532664,196.86866930391398,0.0,0.5723793677204659,0.831279469688707,0.652811596995845,355.75663322132027,10807.158070837546,10752.809978472484,495.6519076349811,15554.506421275471,14374.330999127264,4.354205884737894e-11
0.75,0.08,0.15555044553846809,0.4901835849632434,196.86866930391398,0.0,0.5723793677204659,0.8312794701170066,0.652811596995845,356.48188401734984,10511.803125854249,10753.953333602829,792.1502077485608,15559.769573302594,14377.278461705611,-1.9895196601282805e-11
0.75,0.12,0.15556265230618352,0.4847903288081247,196.86866930391398,0.0,0.5723793677204659,0.8312730767616802,0.652811596995845,354.1842589539804,10142.306243011824,10751.887792802292,1159.5815497904587,15550.138998703056,14372.757730788988,-9.777068044058979e-12
1.0,0.0,0.15555044996146913,0.4916647666446439,196.33559375570616,0.0,0.5723793677204659,0.8312794651570713,0.6528115969958456,412.5325286064179,14889.833371561544,14339.83337156154,0.0,15556.850879314898,14377.412162286055,3.637978807091713e-12
1.0,0.02,0.1555504499355672,0.49577843945353167,196.33559375570616,0.0,0.5723793677204659,0.8312794651860627,0.6528115969958456,414.45953367829077,14692.475025761598,14342.448759810512,199.97373404891974,15558.308508227623,14379.709775017309,5.030642569181509e-12
1.0,0.05,0.15555044989633932,0.48926227249481263,196.33559375570616,0.0,0.5723793677204659,0.8312794652299704,0.6528115969958456,411.2897804930344,14388.594919806195,14337.956386446049,499.3614666398123,15555.343574364088,14375.527431766124,-4.098410499864258e-11
1.0,0.08,0.15555044985536998,0.48823428417994646,196.33559375570616,0.0,0.5723793677204659,0.8312794652758273,0.6528115969958456,410.83585919809934,14089.564894745385,14337.638409730627,798.0735149852619,15555.218496445219,14375.407166023964,1.887201506178826e-11
1.0,0.12,0.15555044980065916,0.4886156031670793,196.33559375570616,0.0,0.5723793677204659,0.8312794653370643,0.6528115969958456,410.92923352728843,13692.576525158824,14337.88099924025,1195.3044740814282,15554.966501436313,14375.54024173252,1.8189894035458565e-12
