yin_finance_share,reflux_rate_max,min_R_over_R0,final_R_over_R0,max_B,final_B,stress_share,max_w_gap,min_S,final_M_re,final_M_public,yin_cumulative,reflux_cumulative,sf_tax_integral,commons_spend_integral,public_money_identity_error
0.0,0.0,0.49192181431288523,0.8968183685136994,5780.214591696589,1308.2018252340586,0.7054908485856906,0.7404148756588352,0.6531512421492767,303.9737866888193,550.0,0.0,0.0,41012.362904481924,25206.15962623177,0.0
0.0,0.02,0.7675999008283668,0.8686664556512796,5358.564509353835,1312.701184584713,0.6821963394342762,0.5653039111902473,0.6528367352194543,299.081404052804,241.556706122238,0.0,308.44329387777077,45319.26014457814,27875.706855197066,8.810729923425242e-12
0.0,0.05,0.8230399712319374,0.8678974009584263,5315.683529439995,1364.7798934551197,0.6755407653910149,0.2973592846987024,0.6528115973033211,301.47764263380196,0.0,0.0,550.0000000000006,46770.16597813221,28600.09676657672,5.684341886080801e-13
0.05,0.0,0.47058521445216905,0.8899270014228494,5345.947508036403,788.5963006302782,0.697171381031614,0.7149917748210258,0.6531533943090598,312.8546057277162,1671.3176734135336,1121.3176734135359,0.0,34291.596819370905,22479.82698943608,-2.2737367544323206e-12
0.05,0.02,0.47160806989784737,0.9158557592005049,5331.676602174594,977.435056083597,0.7071547420965059,0.716997147281269,0.6531975218622716,318.1578390832981,1483.681751337114,1163.123958279124,229.44220694200962,35526.37613922087,23310.022136557942,-3.410605131648481e-13
0.05,0.05,0.5366509543532696,0.8700249931593566,5414.236337570352,1053.831709853899,0.7254575707154742,0.7071577780866081,0.6531324974713397,302.12549577435425,1144.32466349193,1184.211385528791,589.8867220368531,36919.29674343369,23752.691533828896,-7.73070496506989e-12
0.1,0.0,0.4963232284885588,0.7592989086419865,4880.218848763275,503.7789619911313,0.6722129783693843,0.6819769346181721,0.6530175256946741,295.90067716627436,2609.338413188985,2059.338413189027,0.0,29290.193483378906,20642.675298406677,-4.18367562815547e-11
0.1,0.02,0.4953062597040954,0.8657070857572048,4867.367793474894,657.3720940035349,0.6838602329450915,0.6843676105868102,0.6530622226310112,324.48520798871596,2479.1193415218813,2124.6354546720245,195.51611315016885,30288.570291671465,21303.428598873063,2.560796019679401e-11
0.1,0.05,0.4945876659028335,0.8276685169892306,4832.648525762225,807.3976146163421,0.697171381031614,0.687912918359959,0.6531567073720262,312.02413662169755,2200.7801792968007,2247.06231013001,596.2821308332324,31900.20547645403,22515.212515368185,2.3305801732931286e-11
0.25,0.0,0.18757990962188942,0.6003847801938601,1612.4754170217097,0.0,0.7371048252911814,0.8058300553833334,0.6528386526832274,299.80121784001994,4403.912676110995,3853.9126761110015,0.0,18534.007226115224,15461.717939556245,-6.821210263296962e-12
0.25,0.02,0.10380523575934733,0.5786936894762629,1796.035982444509,0.0,0.7371048252911814,0.8894498371971975,0.6528525623534368,297.35023927947435,4445.76876594834,4017.462547510913,121.69378156254025,19304.82576529257,16119.013435273053,-3.271338755439501e-11
0.25,0.05,0.4050112363224495,0.5631605248017897,2335.3967260194277,0.0,0.6555740432612313,0.6431050150611929,0.6528822789880229,287.6012342823023,4577.941118664991,4423.146720153268,395.20560148824114,20016.853183433894,17738.51140814211,-3.4788172342814505e-11
0.5,0.0,0.16596279014596968,0.4904861427681472,199.48034897042436,0.0,0.5723793677204659,0.820354438256788,0.6528115972900123,312.9457415190964,7677.609436900625,7127.609436900624,0.0,15776.127401722322,14294.553312891003,9.094947017729282e-13
0.5,0.02,0.16618593950430044,0.487025322631617,199.48034897042436,0.0,0.5723793677204659,0.820104906157558,0.6528115972900123,311.54383462317367,7487.363725184221,7118.813693073507,181.44996788934517,15782.69503097334,14278.843461730683,5.934452929068357e-11
0.5,0.05,0.16683614309103875,0.48594056855562057,199.48034897042436,0.0,0.5723793677204659,0.8194136719067089,0.6528115972900121,311.21581611596446,7217.132287193782,7107.590212834828,440.4579256410539,15786.6319078172,14255.964430972223,7.844391802791506e-12
