scenario,n,min_R_median,min_R_p05,final_R_median,max_B_median,max_B_p95,stress_median,min_S_p05,yin_median,reflux_median,accounting_error_max
DLE baseline,50,0.17389684347040715,0.129108535801945,0.9151876697249522,2692.731253530971,3149.2397403053374,0.6311475409836066,0.6528115913219125,0.0,0.0,0.0
Reflux 2% max,50,0.17970438659032484,0.1327563790615713,0.8602104983323543,3428.1521808680795,4141.542993871522,0.8101092896174864,0.6528115915996704,0.0,301.576739147844,2.5011104298755527e-12
Yin 5%,50,0.16898564241300984,0.10898368800091116,0.6994596651670669,1783.6092846799975,2274.4147301531,0.5573770491803278,0.6528115912703316,1033.4522532629303,0.0,9.094947017729282e-12
Yin 5% + reflux 2%,50,0.17330277016668355,0.11388974257470563,0.8441844093673603,2059.3191012690104,2386.0114462536467,0.5368852459016393,0.652811591266012,1082.4758876471396,299.3824664705272,1.1027623258996755e-11
