scenario,yin_finance_share,reflux_rate_max,min_R_over_R0,final_R_over_R0,max_B,final_B,stress_share,max_w_gap,min_S,final_M_re,final_M_public,yin_cumulative,reflux_cumulative,sf_tax_integral,commons_spend_integral,public_money_identity_error
DLE baseline,0.0,0.0,0.49188983047070817,0.8967105710839107,5780.445016889888,1308.3514254523118,0.7048634243837442,0.7404187760055975,0.6531478854755858,303.9440155137096,550.0,0.0,0.0,40968.870515809984,25157.495631581027,0.0
Yin 5%,0.05,0.0,0.4705822946017602,0.8886375324118195,5346.226555381881,785.9502438422235,0.6968687541638907,0.7149915772521174,0.6531508053826588,312.47068130745527,1671.130873078892,1121.130873078897,0.0,34275.0211762396,22436.47711261081,-5.002220859751105e-12
Reflux 2% max,0.0,0.02,0.7608048841043106,0.8682886540078267,5363.703670930447,1312.5979203909963,0.6835443037974683,0.5747843124985875,0.6528382499891463,298.9810321867037,242.9707547352145,0.0,307.02924526478824,45256.15757588307,27803.912424485672,2.8421709430404007e-12
Yin 5% + reflux 2%,0.05,0.02,0.4716045748435427,0.9161585561781826,5332.07041122539,979.5427833919557,0.7075283144570287,0.7170051896081348,0.653194810242871,318.23894073103435,1483.2336404266678,1163.0141568776417,229.7805164509836,35512.37479359468,23274.633324792594,9.748646334628575e-12
